Brand,SOC,NEC,Reaction,Total,Fatal,rnk
Pfizer,Blood disorders,Anaemias NEC,Anaemia,4,0,8
Pfizer,Blood disorders,Anaemias haemolytic immune,Autoimmune haemolytic anaemia,1,0,14
Pfizer,Blood disorders,Bleeding tendencies,Increased tendency to bruise,7,0,7
Pfizer,Blood disorders,Coagulopathies,Coagulopathy,1,0,18
Pfizer,Blood disorders,Leukopenias NEC,Lymphopenia,1,0,15
Pfizer,Blood disorders,Lymphatic system disorders NEC,Granulomatous lymphadenitis,1,0,16
Pfizer,Blood disorders,Lymphatic system disorders NEC,Lymph node pain,266,0,2
Pfizer,Blood disorders,Lymphatic system disorders NEC,Lymphadenitis,42,0,3
Pfizer,Blood disorders,Lymphatic system disorders NEC,Lymphadenopathy,1931,0,1
Pfizer,Blood disorders,Lymphatic system disorders NEC,Lymphatic disorder,1,0,19
Pfizer,Blood disorders,Lymphatic system disorders NEC,Pseudolymphoma,2,0,9
Pfizer,Blood disorders,Marrow depression and hypoplastic anaemias,Myelosuppression,1,0,13
Pfizer,Blood disorders,Marrow depression and hypoplastic anaemias,Pancytopenia,1,0,17
Pfizer,Blood disorders,Neutropenias,Neutropenia,9,0,5
Pfizer,Blood disorders,Platelet disorders NEC,Platelet anisocytosis,1,0,12
Pfizer,Blood disorders,Spleen disorders,Splenomegaly,1,0,11
Pfizer,Blood disorders,Thrombocytopenias,Immune thrombocytopenia,9,0,6
Pfizer,Blood disorders,Thrombocytopenias,Thrombocytopenia,13,1,4
Pfizer,Blood disorders,Thrombocytoses,Thrombocytosis,2,0,10
Pfizer,Cardiac disorders,Cardiac conduction disorders,Bundle branch block right,1,0,38
Pfizer,Cardiac disorders,Cardiac disorders NEC,Cardiac disorder,3,0,20
Pfizer,Cardiac disorders,Cardiac disorders NEC,Cardiovascular disorder,1,0,40
Pfizer,Cardiac disorders,Cardiac signs and symptoms NEC,Cardiac discomfort,1,0,30
Pfizer,Cardiac disorders,Cardiac signs and symptoms NEC,Palpitations,536,0,1
Pfizer,Cardiac disorders,Coronary artery disorders NEC,Coronary artery disease,2,1,21
Pfizer,Cardiac disorders,Heart failures NEC,Cardiac failure,4,1,17
Pfizer,Cardiac disorders,Heart failures NEC,Cardiac failure congestive,1,0,37
Pfizer,Cardiac disorders,Heart failures NEC,Cardiopulmonary failure,1,1,36
Pfizer,Cardiac disorders,Ischaemic coronary artery disorders,Acute myocardial infarction,7,0,14
Pfizer,Cardiac disorders,Ischaemic coronary artery disorders,Angina pectoris,14,0,11
Pfizer,Cardiac disorders,Ischaemic coronary artery disorders,Arteriospasm coronary,1,0,42
Pfizer,Cardiac disorders,Ischaemic coronary artery disorders,Myocardial infarction,23,6,7
Pfizer,Cardiac disorders,Left ventricular failures,Left ventricular failure,1,0,33
Pfizer,Cardiac disorders,Myocardial disorders NEC,Cardiomegaly,1,0,41
Pfizer,Cardiac disorders,Myocardial disorders NEC,Left ventricular dysfunction,1,0,35
Pfizer,Cardiac disorders,Myocardial disorders NEC,Myocardial fibrosis,1,0,39
Pfizer,Cardiac disorders,Myocardial disorders NEC,Myocardial oedema,2,0,25
Pfizer,Cardiac disorders,Myocardial disorders NEC,Right ventricular enlargement,1,0,34
Pfizer,Cardiac disorders,Noninfectious myocarditis,Myocarditis,6,0,15
Pfizer,Cardiac disorders,Noninfectious pericarditis,Pericarditis,8,1,13
Pfizer,Cardiac disorders,Pericardial disorders NEC,Pericardial effusion,2,0,24
Pfizer,Cardiac disorders,Rate and rhythm disorders NEC,Arrhythmia,18,0,8
Pfizer,Cardiac disorders,Rate and rhythm disorders NEC,Bradycardia,14,0,10
Pfizer,Cardiac disorders,Rate and rhythm disorders NEC,Cardiac flutter,24,0,6
Pfizer,Cardiac disorders,Rate and rhythm disorders NEC,Extrasystoles,14,0,9
Pfizer,Cardiac disorders,Rate and rhythm disorders NEC,Postural orthostatic tachycardia syndrome,2,0,26
Pfizer,Cardiac disorders,Rate and rhythm disorders NEC,Tachycardia,312,0,2
Pfizer,Cardiac disorders,Right ventricular failures,Cor pulmonale,1,0,43
Pfizer,Cardiac disorders,Supraventricular arrhythmias,Arrhythmia supraventricular,5,0,16
Pfizer,Cardiac disorders,Supraventricular arrhythmias,Atrial fibrillation,52,0,3
Pfizer,Cardiac disorders,Supraventricular arrhythmias,Atrial flutter,1,0,31
Pfizer,Cardiac disorders,Supraventricular arrhythmias,Atrial tachycardia,2,0,23
Pfizer,Cardiac disorders,Supraventricular arrhythmias,Sinus bradycardia,2,0,22
Pfizer,Cardiac disorders,Supraventricular arrhythmias,Sinus tachycardia,25,0,5
Pfizer,Cardiac disorders,Supraventricular arrhythmias,Supraventricular tachycardia,11,0,12
Pfizer,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,Cardiac arrest,39,15,4
Pfizer,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,Cardio-respiratory arrest,1,1,28
Pfizer,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,Pulseless electrical activity,2,0,27
Pfizer,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,Ventricular arrhythmia,1,0,32
Pfizer,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,Ventricular extrasystoles,4,0,18
Pfizer,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,Ventricular fibrillation,4,0,19
Pfizer,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,Ventricular tachycardia,1,0,29
Pfizer,Congenital disorders,Cardiac septal defects congenital,Hypertrophic cardiomyopathy,1,0,5
Pfizer,Congenital disorders,Coagulation disorders congenital,Haemophilia,1,0,1
Pfizer,Congenital disorders,Neurological disorders congenital NEC,Familial hemiplegic migraine,1,0,4
Pfizer,Congenital disorders,Neurological disorders congenital NEC,Familial periodic paralysis,1,0,3
Pfizer,Congenital disorders,Retinal disorders congenital,Retinitis pigmentosa,1,0,2
Pfizer,Ear disorders,Ear disorders NEC,Ear canal erythema,1,0,28
Pfizer,Ear disorders,Ear disorders NEC,Ear congestion,4,0,12
Pfizer,Ear disorders,Ear disorders NEC,Ear discomfort,15,0,8
Pfizer,Ear disorders,Ear disorders NEC,Ear disorder,3,0,14
Pfizer,Ear disorders,Ear disorders NEC,Ear haemorrhage,1,0,25
Pfizer,Ear disorders,Ear disorders NEC,Ear pain,211,0,2
Pfizer,Ear disorders,Ear disorders NEC,Ear pruritus,2,0,19
Pfizer,Ear disorders,Ear disorders NEC,Ear swelling,6,0,11
Pfizer,Ear disorders,Ear disorders NEC,Otorrhoea,1,0,22
Pfizer,Ear disorders,Eustachian tube disorders,Eustachian tube disorder,1,0,24
Pfizer,Ear disorders,Eustachian tube disorders,Eustachian tube dysfunction,2,0,21
Pfizer,Ear disorders,External ear disorders NEC,Red ear syndrome,2,0,20
Pfizer,Ear disorders,Hearing disorders NEC,Auditory disorder,1,0,27
Pfizer,Ear disorders,Hearing losses,Deafness,20,0,5
Pfizer,Ear disorders,Hearing losses,Deafness neurosensory,3,0,16
Pfizer,Ear disorders,Hearing losses,Deafness unilateral,3,0,15
Pfizer,Ear disorders,Hearing losses,Hypoacusis,29,0,4
Pfizer,Ear disorders,Hearing losses,Sudden hearing loss,7,0,10
Pfizer,Ear disorders,Hyperacusia,Hyperacusis,8,0,9
Pfizer,Ear disorders,Inner ear disorders NEC,Acute vestibular syndrome,1,0,26
Pfizer,Ear disorders,Inner ear disorders NEC,Inner ear disorder,2,0,18
Pfizer,Ear disorders,Inner ear disorders NEC,Meniere's disease,3,0,17
Pfizer,Ear disorders,Inner ear signs and symptoms,Motion sickness,16,0,7
Pfizer,Ear disorders,Inner ear signs and symptoms,Tinnitus,196,0,3
Pfizer,Ear disorders,Inner ear signs and symptoms,Vertigo,258,0,1
Pfizer,Ear disorders,Inner ear signs and symptoms,Vertigo labyrinthine,4,0,13
Pfizer,Ear disorders,Inner ear signs and symptoms,Vertigo positional,18,0,6
Pfizer,Ear disorders,Middle ear infections and inflammations,Middle ear inflammation,1,0,23
Pfizer,Endocrine disorders,Acute and chronic thyroiditis,Thyroiditis subacute,1,0,7
Pfizer,Endocrine disorders,Adrenal cortical hypofunctions,Adrenocortical insufficiency acute,3,0,1
Pfizer,Endocrine disorders,Endocrine abnormalities of puberty,Premature menarche,1,0,4
Pfizer,Endocrine disorders,Female gonadal function disorders,Anovulatory cycle,1,0,6
Pfizer,Endocrine disorders,Thyroid disorders NEC,Goitre,3,0,2
Pfizer,Endocrine disorders,Thyroid disorders NEC,Thyroid pain,1,0,5
Pfizer,Endocrine disorders,Thyroid hypofunction disorders,Hypothyroidism,2,0,3
Pfizer,Eye disorders,Amblyopic vision impairment,Amblyopia,2,0,47
Pfizer,Eye disorders,Choroid and vitreous haemorrhages and vascular disorders,Choroidal haemorrhage,1,0,86
Pfizer,Eye disorders,"Choroid and vitreous structural change, deposit and degeneration",Vitreous detachment,1,0,71
Pfizer,Eye disorders,"Choroid and vitreous structural change, deposit and degeneration",Vitreous floaters,12,0,18
Pfizer,Eye disorders,Conjunctival and corneal bleeding and vascular disorders,Conjunctival haemorrhage,10,0,19
Pfizer,Eye disorders,"Conjunctival infections, irritations and inflammations",Conjunctival hyperaemia,1,0,75
Pfizer,Eye disorders,"Corneal infections, oedemas and inflammations",Keratitis,2,0,46
Pfizer,Eye disorders,"Corneal infections, oedemas and inflammations",Ulcerative keratitis,3,0,38
Pfizer,Eye disorders,Eyelid movement disorders,Blepharospasm,22,0,16
Pfizer,Eye disorders,Eyelid movement disorders,Excessive eye blinking,1,0,63
Pfizer,Eye disorders,Eyelid movement disorders,Eyelid ptosis,6,0,27
Pfizer,Eye disorders,"Iris and uveal tract infections, irritations and inflammations",Autoimmune uveitis,1,0,62
Pfizer,Eye disorders,"Iris and uveal tract infections, irritations and inflammations",Iridocyclitis,5,0,29
Pfizer,Eye disorders,"Iris and uveal tract infections, irritations and inflammations",Iritis,1,0,84
Pfizer,Eye disorders,"Iris and uveal tract infections, irritations and inflammations",Uveitis,8,0,23
Pfizer,Eye disorders,Lacrimation disorders,Dry eye,29,0,13
Pfizer,Eye disorders,Lacrimation disorders,Lacrimation increased,40,0,9
Pfizer,Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Blepharitis,2,0,44
Pfizer,Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Chalazion,1,0,51
Pfizer,Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eczema eyelids,1,0,69
Pfizer,Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Erythema of eyelid,1,0,70
Pfizer,Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eyelid irritation,1,0,65
Pfizer,Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eyelid margin crusting,1,0,54
Pfizer,Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eyelid oedema,1,0,53
Pfizer,Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eyelid rash,4,0,31
Pfizer,Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Swelling of eyelid,30,0,12
Pfizer,Eye disorders,"Lid, lash and lacrimal structural disorders",Eyelid exfoliation,1,0,68
Pfizer,Eye disorders,"Lid, lash and lacrimal structural disorders",Lagophthalmos,1,0,52
Pfizer,Eye disorders,Ocular bleeding and vascular disorders NEC,Eye haematoma,1,0,59
Pfizer,Eye disorders,Ocular bleeding and vascular disorders NEC,Eye haemorrhage,4,0,34
Pfizer,Eye disorders,Ocular disorders NEC,Eye disorder,10,0,20
Pfizer,Eye disorders,Ocular disorders NEC,Eye oedema,4,0,36
Pfizer,Eye disorders,Ocular disorders NEC,Eye pain,245,0,1
Pfizer,Eye disorders,Ocular disorders NEC,Eye swelling,129,0,3
Pfizer,Eye disorders,Ocular disorders NEC,Eye ulcer,1,0,80
Pfizer,Eye disorders,Ocular disorders NEC,Eyelid disorder,2,0,49
Pfizer,Eye disorders,Ocular disorders NEC,Eyelid pain,3,0,41
Pfizer,Eye disorders,Ocular disorders NEC,Eyelids pruritus,1,0,74
Pfizer,Eye disorders,Ocular disorders NEC,Ocular discomfort,7,0,24
Pfizer,Eye disorders,Ocular disorders NEC,Periorbital oedema,9,0,21
Pfizer,Eye disorders,Ocular disorders NEC,Periorbital pain,1,0,57
Pfizer,Eye disorders,Ocular disorders NEC,Periorbital swelling,31,0,10
Pfizer,Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye allergy,1,0,73
Pfizer,Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye discharge,7,0,25
Pfizer,Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye inflammation,4,0,35
Pfizer,Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye irritation,27,0,15
Pfizer,Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye pruritus,83,0,5
Pfizer,Eye disorders,"Ocular infections, inflammations and associated manifestations",Limbal swelling,1,0,83
Pfizer,Eye disorders,"Ocular infections, inflammations and associated manifestations",Ocular hyperaemia,55,0,7
Pfizer,Eye disorders,Ocular nerve and muscle disorders,Binocular eye movement disorder,1,0,77
Pfizer,Eye disorders,Ocular nerve and muscle disorders,Extraocular muscle paresis,1,0,61
Pfizer,Eye disorders,Ocular nerve and muscle disorders,Eye movement disorder,6,0,26
Pfizer,Eye disorders,Ocular nerve and muscle disorders,Ophthalmoplegia,2,0,45
Pfizer,Eye disorders,Ocular nerve and muscle disorders,Strabismus,1,0,56
Pfizer,Eye disorders,Ocular sensation disorders,Abnormal sensation in eye,5,0,28
Pfizer,Eye disorders,Ocular sensation disorders,Asthenopia,44,0,8
Pfizer,Eye disorders,Ocular sensation disorders,Eye paraesthesia,1,0,64
Pfizer,Eye disorders,Ocular sensation disorders,Foreign body sensation in eyes,8,0,22
Pfizer,Eye disorders,Ocular sensation disorders,Hypoaesthesia eye,4,0,32
Pfizer,Eye disorders,Ocular sensation disorders,Photophobia,100,0,4
Pfizer,Eye disorders,Optic disc abnormalities NEC,Papilloedema,1,0,76
Pfizer,Eye disorders,Pupil disorders,Miosis,1,0,79
Pfizer,Eye disorders,Pupil disorders,Mydriasis,5,0,30
Pfizer,Eye disorders,Pupil disorders,Pupillary disorder,1,0,60
Pfizer,Eye disorders,Pupil disorders,Pupils unequal,3,0,42
